Block Column	Block Row	Column	Row	Reporter Name	Reporter Database Entry[sgd]	Reporter Database Entry[image]	Reporter Database Entry[locus]	Reporter Database Entry[embl]	Control Type	Composite Element Name	Composite Element Database Entry[sgd]	Composite Element Database Entry[embl]	Composite Element Database Entry[locus]	Composite Element Database Entry[unigene:184:184]	Composite Element Database Entry[unigene:186:186]	Composite Element Comment
4	2	15	26	1688/MAGE.Reporter	YML068W					gene:ITT1/MAGE.CompositeSequence	S000004533					
2	6	9	26	1170/MAGE.Reporter	YRF1-4					gene:YRF1-4/MAGE.CompositeSequence	S000004458					
2	8	9	26	1171/MAGE.Reporter	YRF1-5					gene:YRF1-5/MAGE.CompositeSequence	S000004459					
1	3	16	26	2212/MAGE.Reporter	YNL240C					gene:NAR1/MAGE.CompositeSequence	S000005184					
3	8	14	26	2858/MAGE.Reporter	YOR103C					gene:OST2/MAGE.CompositeSequence	S000005629					
1	8	11	26	2838/MAGE.Reporter	YOR085W					gene:OST3/MAGE.CompositeSequence	S000005611					
4	6	12	26	1746/MAGE.Reporter	YML019W					gene:OST6/MAGE.CompositeSequence	S000004481					
1	11	14	26	2233/MAGE.Reporter	YNL220W					gene:ADE12/MAGE.CompositeSequence	S000005164					
1	11	15	26	2214/MAGE.Reporter	YNL238W					gene:KEX2/MAGE.CompositeSequence	S000005182					
3	7	14	26	2248/MAGE.Reporter	YNL206C					gene:RTT106/MAGE.CompositeSequence	S000005150					
3	11	9	26	2305/MAGE.Reporter	YNL154C					gene:YCK2/MAGE.CompositeSequence	S000005098					
1	1	13	26	2245/MAGE.Reporter	YNL209W					gene:SSB2/MAGE.CompositeSequence	S000005153					
1	3	13	26	2244/MAGE.Reporter	YNL210W					gene:MER1/MAGE.CompositeSequence	S000005154					
3	12	13	26	2854/MAGE.Reporter	YOR099W					gene:KTR1/MAGE.CompositeSequence	S000005625					
3	5	11	26	2281/MAGE.Reporter	YNL175C					gene:NOP13/MAGE.CompositeSequence	S000005119					
3	3	12	26	2276/MAGE.Reporter	YNL180C					gene:RHO5/MAGE.CompositeSequence	S000005124					
2	5	14	26	1345/MAGE.Reporter	YLR136C					gene:TIS11/MAGE.CompositeSequence	S000004126					
3	9	12	26	2273/MAGE.Reporter	YNL183C					gene:NPR1/MAGE.CompositeSequence	S000005127					
1	9	16	26	2208/MAGE.Reporter	YNL243W					gene:SLA2/MAGE.CompositeSequence	S000005187					
4	8	10	26	1165/MAGE.Reporter	YLR461W					gene:PAU4/MAGE.CompositeSequence	S000004453					
4	1	10	26	1275/MAGE.Reporter	YLR074C					gene:BUD20/MAGE.CompositeSequence	S000004064					
2	8	11	26	1735/MAGE.Reporter	YML029W					gene:USA1/MAGE.CompositeSequence	S000004491					
3	6	12	26	2830/MAGE.Reporter	YOR078W					gene:BUD21/MAGE.CompositeSequence	S000005604					
4	12	11	26	1751/MAGE.Reporter	YML015C					gene:TAF11/MAGE.CompositeSequence	S000004477					
1	3	9	26	2296/MAGE.Reporter	YNL162W					gene:RPL42A/MAGE.CompositeSequence	S000005106					
1	8	13	26	2864/MAGE.Reporter	YOR109W					gene:INP53/MAGE.CompositeSequence	S000005635					
1	3	14	26	2238/MAGE.Reporter	YNL216W					gene:RAP1/MAGE.CompositeSequence	S000005160					
2	2	14	26	1696/MAGE.Reporter	YML061C					gene:PIF1/MAGE.CompositeSequence	S000004526					
4	2	9	26	1154/MAGE.Reporter	YLR452C					gene:SST2/MAGE.CompositeSequence	S000004444					
3	4	14	26	2856/MAGE.Reporter	YOR101W					gene:RAS1/MAGE.CompositeSequence	S000005627					
3	6	9	26	2796/MAGE.Reporter	YOR048C					gene:RAT1/MAGE.CompositeSequence	S000005574					
3	1	16	26	2225/MAGE.Reporter	YNL227C					gene:JJJ1/MAGE.CompositeSequence	S000005171					
4	8	15	26	1685/MAGE.Reporter	YML071C					gene:COG8/MAGE.CompositeSequence	S000004536					
4	1	9	26	1268/MAGE.Reporter	YLR068W					gene:FYV7/MAGE.CompositeSequence	S000004058					
2	4	9	26	1169/MAGE.Reporter	YLR465C					gene:BSC3/MAGE.CompositeSequence	S000004457					
2	5	15	26	1363/MAGE.Reporter	YLR154C					gene:RNH203/MAGE.CompositeSequence	S000004144					
2	9	9	26	1285/MAGE.Reporter	YLR084C					gene:RAX2/MAGE.CompositeSequence	S000004074					
1	5	9	26	2295/MAGE.Reporter	YNL163C					gene:RIA1/MAGE.CompositeSequence	S000005107					
4	1	12	26	1301/MAGE.Reporter	YLR098C					gene:CHA4/MAGE.CompositeSequence	S000004088					
1	12	9	26	2812/MAGE.Reporter	YOR063W					gene:RPL3/MAGE.CompositeSequence	S000005589					
3	10	14	26	2859/MAGE.Reporter	YOR104W					gene:PIN2/MAGE.CompositeSequence	S000005630					
4	12	9	26	1160/MAGE.Reporter	YLR457C					gene:NBP1/MAGE.CompositeSequence	S000004449					
3	9	16	26	2221/MAGE.Reporter	YNL231C					gene:PDR16/MAGE.CompositeSequence	S000005175					
2	6	16	26	2124/MAGE.Reporter	YML091C					gene:RPM2/MAGE.CompositeSequence	S000004556					
2	11	14	26	1348/MAGE.Reporter	YLR139C					gene:SLS1/MAGE.CompositeSequence	S000004129					
2	6	14	26	1694/MAGE.Reporter	YML063W					gene:RPS1B/MAGE.CompositeSequence	S000004528					
4	2	12	26	1749/MAGE.Reporter	YML016C					gene:PPZ1/MAGE.CompositeSequence	S000004478					
2	11	11	26	1314/MAGE.Reporter	YLR109W					gene:AHP1/MAGE.CompositeSequence	S000004099					
4	4	9	26	1155/MAGE.Reporter	YLR453C					gene:RIF2/MAGE.CompositeSequence	S000004445					
4	8	11	26	1753/MAGE.Reporter	YML013W					gene:SEL1/MAGE.CompositeSequence	S000004475					
2	3	11	26	1308/MAGE.Reporter	YLR105C					gene:SEN2/MAGE.CompositeSequence	S000004095					
2	3	14	26	1344/MAGE.Reporter	YLR135W					gene:SLX4/MAGE.CompositeSequence	S000004125					
3	6	10	26	2802/MAGE.Reporter	YOR054C					gene:VHS3/MAGE.CompositeSequence	S000005580					
4	10	14	26	1709/MAGE.Reporter	YML051W					gene:GAL80/MAGE.CompositeSequence	S000004515					
3	11	11	26	2278/MAGE.Reporter	YNL178W					gene:RPS3/MAGE.CompositeSequence	S000005122					
3	6	13	26	2851/MAGE.Reporter	YOR096W					gene:RPS7A/MAGE.CompositeSequence	S000005622					
1	12	14	26	2873/MAGE.Reporter	YOR117W					gene:RPT5/MAGE.CompositeSequence	S000005643					
3	4	9	26	2795/MAGE.Reporter	YOR047C					gene:STD1/MAGE.CompositeSequence	S000005573					
2	4	14	26	1695/MAGE.Reporter	YML062C					gene:MFT1/MAGE.CompositeSequence	S000004527					
1	2	13	26	2861/MAGE.Reporter	YOR106W					gene:VAM3/MAGE.CompositeSequence	S000005632					
4	3	10	26	1276/MAGE.Reporter	YLR075W					gene:RPL10/MAGE.CompositeSequence	S000004065					
3	4	15	26	2876/MAGE.Reporter	YOR119C					gene:RIO1/MAGE.CompositeSequence	S000005645					
3	9	14	26	2247/MAGE.Reporter	YNL207W					gene:RIO2/MAGE.CompositeSequence	S000005151					
1	11	10	26	2285/MAGE.Reporter	YNL172W					gene:APC1/MAGE.CompositeSequence	S000005116					
4	11	14	26	1333/MAGE.Reporter	YLR127C					gene:APC2/MAGE.CompositeSequence	S000004117					
4	9	12	26	1305/MAGE.Reporter	YLR102C					gene:APC9/MAGE.CompositeSequence	S000004092					
2	12	14	26	1690/MAGE.Reporter	YML066C					gene:SMA2/MAGE.CompositeSequence	S000004531					
4	11	11	26	1300/MAGE.Reporter	YLR097C					gene:HRT3/MAGE.CompositeSequence	S000004087					
4	12	13	26	1715/MAGE.Reporter	YML046W					gene:PRP39/MAGE.CompositeSequence	S000004509					
1	3	12	26	2263/MAGE.Reporter	YNL192W					gene:CHS1/MAGE.CompositeSequence	S000005136					
2	1	10	26	1288/MAGE.Reporter	YLR086W					gene:SMC4/MAGE.CompositeSequence	S000004076					
4	9	16	26	1359/MAGE.Reporter	YLR150W					gene:STM1/MAGE.CompositeSequence	S000004140					
4	3	16	26	1356/MAGE.Reporter	YLR147C					gene:SMD3/MAGE.CompositeSequence	S000004137					
2	12	16	26	2089/MAGE.Reporter	YML095C					gene:RAD10/MAGE.CompositeSequence	S000004560					
2	2	12	26	1731/MAGE.Reporter	YML032C					gene:RAD52/MAGE.CompositeSequence	S000004494					
4	7	11	26	1298/MAGE.Reporter	YLR095C					gene:IOC2/MAGE.CompositeSequence	S000004085					
2	8	13	26	1700/MAGE.Reporter	YML058W					gene:SML1/MAGE.CompositeSequence	S000004523					
1	1	11	26	2271/MAGE.Reporter	YNL185C					gene:MRPL19/MAGE.CompositeSequence	S000005129					
3	9	11	26	2279/MAGE.Reporter	YNL177C					gene:MRPL22/MAGE.CompositeSequence	S000005121					
4	6	13	26	1719/MAGE.Reporter	YML042W					gene:CAT2/MAGE.CompositeSequence	S000004506					
3	4	16	26	2883/MAGE.Reporter	YOR125C					gene:CAT5/MAGE.CompositeSequence	S000005651					
1	12	10	26	2820/MAGE.Reporter	YOR069W					gene:VPS5/MAGE.CompositeSequence	S000005595					
1	5	16	26	2211/MAGE.Reporter	ZWF1					gene:ZWF1/MAGE.CompositeSequence	S000005185					
4	12	12	26	1743/MAGE.Reporter	YML022W					gene:APT1/MAGE.CompositeSequence	S000004484					
1	3	11	26	2270/MAGE.Reporter	YNL186W					gene:UBP10/MAGE.CompositeSequence	S000005130					
2	5	10	26	1290/MAGE.Reporter	YLR088W					gene:GAA1/MAGE.CompositeSequence	S000004078					
4	11	16	26	1360/MAGE.Reporter	YLR151C					gene:PCD1/MAGE.CompositeSequence	S000004141					
4	4	10	26	1163/MAGE.Reporter	YLR459W					gene:GAB1/MAGE.CompositeSequence	S000004451					
4	6	16	26	1678/MAGE.Reporter	YML077W					gene:BET5/MAGE.CompositeSequence	S000004542					
1	10	16	26	2899/MAGE.Reporter	YOR140W					gene:SFL1/MAGE.CompositeSequence	S000005666					
1	6	15	26	2891/MAGE.Reporter	YOR132W					gene:VPS17/MAGE.CompositeSequence	S000005658					
3	3	15	26	2231/MAGE.Reporter	YNL222W					gene:SSU72/MAGE.CompositeSequence	S000005166					
4	8	16	26	1677/MAGE.Reporter	YML078W					gene:CPR3/MAGE.CompositeSequence	S000004543					
1	4	12	26	2843/MAGE.Reporter	YOR089C					gene:VPS21/MAGE.CompositeSequence	S000005615					
3	12	11	26	2827/MAGE.Reporter	YOR075W					gene:UFE1/MAGE.CompositeSequence	S000005601					
2	12	13	26	1698/MAGE.Reporter	YML060W					gene:OGG1/MAGE.CompositeSequence	S000004525					
1	7	14	26	2235/MAGE.Reporter	YNL218W					gene:MGS1/MAGE.CompositeSequence	S000005162					
4	3	11	26	1295/MAGE.Reporter	YLR093C					gene:NYV1/MAGE.CompositeSequence	S000004083					
2	3	9	26	1282/MAGE.Reporter	YLR081W					gene:GAL2/MAGE.CompositeSequence	S000004071					
3	10	11	26	2826/MAGE.Reporter	YOR074C					gene:CDC21/MAGE.CompositeSequence	S000005600					
4	4	13	26	1720/MAGE.Reporter	YML041C					gene:VPS71/MAGE.CompositeSequence	S000004505					
4	11	12	26	1306/MAGE.Reporter	YLR103C					gene:CDC45/MAGE.CompositeSequence	S000004093					
1	11	16	26	2207/MAGE.Reporter	YNL244C					gene:SUI1/MAGE.CompositeSequence	S000005188					
2	8	16	26	2117/MAGE.Reporter	YML092C					gene:PRE8/MAGE.CompositeSequence	S000004557					
4	1	11	26	1294/MAGE.Reporter	YLR092W					gene:SUL2/MAGE.CompositeSequence	S000004082					
3	6	16	26	2884/MAGE.Reporter	YOR126C					gene:IAH1/MAGE.CompositeSequence	S000005652					
2	12	15	26	2153/MAGE.Reporter	YML088W					gene:UFO1/MAGE.CompositeSequence	S000004553					
1	1	9	26	2297/MAGE.Reporter	YNL161W					gene:CBK1/MAGE.CompositeSequence	S000005105					
2	12	11	26	1733/MAGE.Reporter	YML031W					gene:NDC1/MAGE.CompositeSequence	S000004493					
2	12	12	26	1723/MAGE.Reporter	YML038C					gene:YMD8/MAGE.CompositeSequence	S000004502					
1	10	11	26	2839/MAGE.Reporter	YOR086C					gene:TCB1/MAGE.CompositeSequence	S000005612					
4	10	15	26	1684/MAGE.Reporter	YML072C					gene:TCB3/MAGE.CompositeSequence	S000004537					
4	2	14	26	1714/MAGE.Reporter	YML047C					gene:PRM6/MAGE.CompositeSequence	S000004510					
1	9	15	26	2215/MAGE.Reporter	YTP1					gene:YTP1/MAGE.CompositeSequence	S000005181					
2	7	15	26	1366/MAGE.Reporter	YLR155C					gene:ASP3-1/MAGE.CompositeSequence	S000004145					
2	11	15	26	1368/MAGE.Reporter	YLR157C					gene:ASP3-2/MAGE.CompositeSequence	S000004147					
2	1	16	26	1371/MAGE.Reporter	YLR158C					gene:ASP3-3/MAGE.CompositeSequence	S000004148					
2	5	16	26	1373/MAGE.Reporter	YLR160C					gene:ASP3-4/MAGE.CompositeSequence	S000004150					
2	1	9	26	1281/MAGE.Reporter	YLR080W					gene:EMP46/MAGE.CompositeSequence	S000004070					
2	1	14	26	1342/MAGE.Reporter	YLR134W					gene:PDC5/MAGE.CompositeSequence	S000004124					
3	7	12	26	2274/MAGE.Reporter	YNL182C					gene:IPI3/MAGE.CompositeSequence	S000005126					
2	7	9	26	1284/MAGE.Reporter	YLR083C					gene:EMP70/MAGE.CompositeSequence	S000004073					
3	9	9	26	2306/MAGE.Reporter	YNL153C					gene:GIM3/MAGE.CompositeSequence	S000005097					
2	7	13	26	1338/MAGE.Reporter	YLR131C					gene:ACE2/MAGE.CompositeSequence	S000004121					
4	3	15	26	1350/MAGE.Reporter	YLR141W					gene:RRN5/MAGE.CompositeSequence	S000004131					
4	9	15	26	1353/MAGE.Reporter	YLR144C					gene:ACF2/MAGE.CompositeSequence	S000004134					
3	3	14	26	2250/MAGE.Reporter	YNL204C					gene:SPS18/MAGE.CompositeSequence	S000005148					
3	11	13	26	2252/MAGE.Reporter	YNL202W					gene:SPS19/MAGE.CompositeSequence	S000005146					
1	7	11	26	2267/MAGE.Reporter	YNL188W					gene:KAR1/MAGE.CompositeSequence	S000005132					
3	4	13	26	2850/MAGE.Reporter	YOR095C					gene:RKI1/MAGE.CompositeSequence	S000005621					
3	8	11	26	2825/MAGE.Reporter	YOR073W					gene:SGO1/MAGE.CompositeSequence	S000005599					
4	5	11	26	1296/MAGE.Reporter	YLR094C					gene:GIS3/MAGE.CompositeSequence	S000004084					
2	8	10	26	1763/MAGE.Reporter	YML006C					gene:GIS4/MAGE.CompositeSequence	S000004465					
3	12	10	26	2805/MAGE.Reporter	YOR057W					gene:SGT1/MAGE.CompositeSequence	S000005583					
4	10	11	26	1752/MAGE.Reporter	YML014W					gene:TRM9/MAGE.CompositeSequence	S000004476					
4	2	16	26	1681/MAGE.Reporter	YML075C					gene:HMG1/MAGE.CompositeSequence	S000004540					
1	5	10	26	2288/MAGE.Reporter	YNL169C					gene:PSD1/MAGE.CompositeSequence	S000005113					
1	1	15	26	2219/MAGE.Reporter	YNL233W					gene:BNI4/MAGE.CompositeSequence	S000005177					
1	11	9	26	2292/MAGE.Reporter	YNL166C					gene:BNI5/MAGE.CompositeSequence	S000005110					
1	7	9	26	2294/MAGE.Reporter	YNL164C					gene:IBD2/MAGE.CompositeSequence	S000005108					
2	2	13	26	1705/MAGE.Reporter	YML054C					gene:CYB2/MAGE.CompositeSequence	S000004518					
2	3	15	26	1362/MAGE.Reporter	YLR153C					gene:ACS2/MAGE.CompositeSequence	S000004143					
3	2	13	26	2849/MAGE.Reporter	YOR094W					gene:ARF3/MAGE.CompositeSequence	S000005620					
1	11	13	26	2240/MAGE.Reporter	YNL214W					gene:PEX17/MAGE.CompositeSequence	S000005158					
2	11	16	26	1376/MAGE.Reporter	YLR163C					gene:MAS1/MAGE.CompositeSequence	S000004153					
3	12	15	26	2880/MAGE.Reporter	YOR123C					gene:LEO1/MAGE.CompositeSequence	S000005649					
4	8	13	26	1717/MAGE.Reporter	YML043C					gene:RRN11/MAGE.CompositeSequence	S000004507					
3	8	9	26	2797/MAGE.Reporter	YOR049C					gene:RSB1/MAGE.CompositeSequence	S000005575					
1	2	10	26	2814/MAGE.Reporter	YOR064C					gene:YNG1/MAGE.CompositeSequence	S000005590					
4	5	9	26	1271/MAGE.Reporter	YLR070C					gene:XYL2/MAGE.CompositeSequence	S000004060					
3	2	14	26	2855/MAGE.Reporter	YOR100C					gene:CRC1/MAGE.CompositeSequence	S000005626					
4	12	16	26	1675/MAGE.Reporter	YML080W					gene:DUS1/MAGE.CompositeSequence	S000004545					
4	9	11	26	1299/MAGE.Reporter	YLR096W					gene:KIN2/MAGE.CompositeSequence	S000004086					
4	6	14	26	1711/MAGE.Reporter	YML049C					gene:RSE1/MAGE.CompositeSequence	S000004513					
2	11	9	26	1286/MAGE.Reporter	YLR085C					gene:ARP6/MAGE.CompositeSequence	S000004075					
1	12	16	26	2901/MAGE.Reporter	YOR141C					gene:ARP8/MAGE.CompositeSequence	S000005667					
1	6	13	26	2863/MAGE.Reporter	YOR108W					gene:LEU9/MAGE.CompositeSequence	S000005634					
2	1	12	26	1315/MAGE.Reporter	YLR110C					gene:CCW12/MAGE.CompositeSequence	S000004100					
1	4	10	26	2815/MAGE.Reporter	YOR065W					gene:CYT1/MAGE.CompositeSequence	S000005591					
1	8	9	26	2810/MAGE.Reporter	YOR061W					gene:CKA2/MAGE.CompositeSequence	S000005587					
1	10	12	26	2846/MAGE.Reporter	YOR092W					gene:ECM3/MAGE.CompositeSequence	S000005618					
2	6	11	26	1736/MAGE.Reporter	YML028W					gene:TSA1/MAGE.CompositeSequence	S000004490					
3	9	13	26	2253/MAGE.Reporter	YNL201C					gene:PSY2/MAGE.CompositeSequence	S000005145					
3	10	16	26	2886/MAGE.Reporter	YOR128C					gene:ADE2/MAGE.CompositeSequence	S000005654					
2	10	13	26	1699/MAGE.Reporter	YML059C					gene:NTE1/MAGE.CompositeSequence	S000004524					
1	4	14	26	2869/MAGE.Reporter	YOR113W					gene:AZF1/MAGE.CompositeSequence	S000005639					
2	12	10	26	1761/MAGE.Reporter	YML008C					gene:ERG6/MAGE.CompositeSequence	S000004467					
2	11	13	26	1341/MAGE.Reporter	YLR133W					gene:CKI1/MAGE.CompositeSequence	S000004123					
1	7	13	26	2242/MAGE.Reporter	YNL212W					gene:VID27/MAGE.CompositeSequence	S000005156					
3	11	10	26	2299/MAGE.Reporter	YNL160W					gene:YGP1/MAGE.CompositeSequence	S000005104					
1	12	11	26	2841/MAGE.Reporter	YVC1					gene:YVC1/MAGE.CompositeSequence	S000005613					
4	5	16	26	1357/MAGE.Reporter	YLR148W					gene:PEP3/MAGE.CompositeSequence	S000004138					
1	6	12	26	2844/MAGE.Reporter	YOR090C					gene:PTC5/MAGE.CompositeSequence	S000005616					
1	10	14	26	2872/MAGE.Reporter	YOR116C					gene:RPO31/MAGE.CompositeSequence	S000005642					
1	2	9	26	2806/MAGE.Reporter	YOR058C					gene:ASE1/MAGE.CompositeSequence	S000005584					
3	5	13	26	2255/MAGE.Reporter	YNL199C					gene:GCR2/MAGE.CompositeSequence	S000005143					
1	10	10	26	2819/MAGE.Reporter	YOR068C					gene:VAM10/MAGE.CompositeSequence	S000005594					
2	4	13	26	1704/MAGE.Reporter	YML055W					gene:SPC2/MAGE.CompositeSequence	S000004519					
3	2	11	26	2821/MAGE.Reporter	YOR070C					gene:GYP1/MAGE.CompositeSequence	S000005596					
2	9	10	26	1292/MAGE.Reporter	YLR090W					gene:XDJ1/MAGE.CompositeSequence	S000004080					
3	9	10	26	2300/MAGE.Reporter	YNL159C					gene:ASI2/MAGE.CompositeSequence	S000005103					
4	1	16	26	1355/MAGE.Reporter	YLR146C					gene:SPE4/MAGE.CompositeSequence	S000004136					
2	5	13	26	1337/MAGE.Reporter	ZRT2					gene:ZRT2/MAGE.CompositeSequence	S000004120					
3	6	15	26	2877/MAGE.Reporter	YOR120W					gene:GCY1/MAGE.CompositeSequence	S000005646					
4	9	10	26	1279/MAGE.Reporter	YLR078C					gene:BOS1/MAGE.CompositeSequence	S000004068					
3	1	13	26	2257/MAGE.Reporter	YNL197C					gene:WHI3/MAGE.CompositeSequence	S000005141					
1	4	11	26	2836/MAGE.Reporter	YOR083W					gene:WHI5/MAGE.CompositeSequence	S000005609					
1	4	16	26	2896/MAGE.Reporter	YOR137C					gene:SIA1/MAGE.CompositeSequence	S000005663					
1	8	10	26	2818/MAGE.Reporter	YOR067C					gene:ALG8/MAGE.CompositeSequence	S000005593					
1	9	14	26	2234/MAGE.Reporter	YNL219C					gene:ALG9/MAGE.CompositeSequence	S000005163					
4	11	10	26	1280/MAGE.Reporter	YLR079W					gene:SIC1/MAGE.CompositeSequence	S000004069					
2	3	10	26	1289/MAGE.Reporter	YLR087C					gene:CSF1/MAGE.CompositeSequence	S000004077					
4	3	12	26	1302/MAGE.Reporter	YLR099C					gene:ICT1/MAGE.CompositeSequence	S000004089					
1	10	15	26	2893/MAGE.Reporter	YOR134W					gene:BAG7/MAGE.CompositeSequence	S000005660					
2	7	11	26	1312/MAGE.Reporter	YLR107W					gene:REX3/MAGE.CompositeSequence	S000004097					
2	8	14	26	1692/MAGE.Reporter	YML064C					gene:TEM1/MAGE.CompositeSequence	S000004529					
3	11	16	26	2220/MAGE.Reporter	YNL232W					gene:CSL4/MAGE.CompositeSequence	S000005176					
4	2	11	26	1757/MAGE.Reporter	YML010W					gene:SPT5/MAGE.CompositeSequence	S000004470					
2	10	16	26	2098/MAGE.Reporter	YML093W					gene:UTP14/MAGE.CompositeSequence	S000004558					
4	3	13	26	1323/MAGE.Reporter	YLR117C					gene:CLF1/MAGE.CompositeSequence	S000004107					
1	7	15	26	2216/MAGE.Reporter	YNL236W					gene:SIN4/MAGE.CompositeSequence	S000005180					
3	4	12	26	2829/MAGE.Reporter	YOR077W					gene:RTS2/MAGE.CompositeSequence	S000005603					
2	4	11	26	1738/MAGE.Reporter	YOX1					gene:YOX1/MAGE.CompositeSequence	S000004489					
4	4	16	26	1679/MAGE.Reporter	YML076C					gene:WAR1/MAGE.CompositeSequence	S000004541					
3	7	16	26	2222/MAGE.Reporter	YNL230C					gene:ELA1/MAGE.CompositeSequence	S000005174					
2	7	12	26	1318/MAGE.Reporter	YLR113W					gene:HOG1/MAGE.CompositeSequence	S000004103					
4	6	15	26	1686/MAGE.Reporter	YML070W					gene:DAK1/MAGE.CompositeSequence	S000004535					
4	11	15	26	1354/MAGE.Reporter	YLR145W					gene:RMP1/MAGE.CompositeSequence	S000004135					
3	10	13	26	2853/MAGE.Reporter	YOR098C					gene:NUP1/MAGE.CompositeSequence	S000005624					
1	7	16	26	2209/MAGE.Reporter	YNL242W					gene:ATG2/MAGE.CompositeSequence	S000005186					
3	5	15	26	2229/MAGE.Reporter	YNL223W					gene:ATG4/MAGE.CompositeSequence	S000005167					
1	2	16	26	2895/MAGE.Reporter	YOR136W					gene:IDH2/MAGE.CompositeSequence	S000005662					
4	4	14	26	1712/MAGE.Reporter	YML048W					gene:GSF2/MAGE.CompositeSequence	S000004511					
2	10	10	26	1762/MAGE.Reporter	YML007W					gene:YAP1/MAGE.CompositeSequence	S000004466					
3	10	15	26	2879/MAGE.Reporter	YOR122C					gene:PFY1/MAGE.CompositeSequence	S000005648					
1	10	13	26	2865/MAGE.Reporter	YOR110W					gene:TFC7/MAGE.CompositeSequence	S000005636					
1	8	14	26	2871/MAGE.Reporter	YOR115C					gene:TRS33/MAGE.CompositeSequence	S000005641					
4	5	12	26	1303/MAGE.Reporter	YLR100W					gene:ERG27/MAGE.CompositeSequence	S000004090					
2	8	12	26	1726/MAGE.Reporter	YML035C					gene:AMD1/MAGE.CompositeSequence	S000004498					
3	10	12	26	2832/MAGE.Reporter	YOR080W					gene:DIA2/MAGE.CompositeSequence	S000005606					
2	10	14	26	1691/MAGE.Reporter	YML065W					gene:ORC1/MAGE.CompositeSequence	S000004530					
3	2	16	26	2881/MAGE.Reporter	YOR124C					gene:UBP2/MAGE.CompositeSequence	S000005650					
4	5	15	26	1351/MAGE.Reporter	YLR142W					gene:PUT1/MAGE.CompositeSequence	S000004132					
3	8	12	26	2831/MAGE.Reporter	YOR079C					gene:ATX2/MAGE.CompositeSequence	S000005605					
4	9	13	26	1326/MAGE.Reporter	YPS1					gene:YPS1/MAGE.CompositeSequence	S000004110					
4	11	13	26	1327/MAGE.Reporter	YPS3					gene:YPS3/MAGE.CompositeSequence	S000004111					
2	4	10	26	1766/MAGE.Reporter	YML004C					gene:GLO1/MAGE.CompositeSequence	S000004463					
2	10	9	26	1769/MAGE.Reporter	YPT7					gene:YPT7/MAGE.CompositeSequence	S000004460					
4	6	11	26	1755/MAGE.Reporter	YML012W					gene:ERV25/MAGE.CompositeSequence	S000004473					
3	1	11	26	2283/MAGE.Reporter	YNL173C					gene:MDG1/MAGE.CompositeSequence	S000005117					
3	8	16	26	2885/MAGE.Reporter	YOR127W					gene:RGA1/MAGE.CompositeSequence	S000005653					
2	3	13	26	1336/MAGE.Reporter	YLR129W					gene:DIP2/MAGE.CompositeSequence	S000004119					
