Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-TABM-1055	MicroRNA profiling by array of human MCF-7 breast cancer cells with ER-beta tagged at the C-terminal or N-terminal and treated with 17-beta-estradiol		Homo sapiens	15	2011-07-29	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-1055/E-TABM-1055.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1055/
E-MTAB-1652	RIP-chip by array of H1 human embryonic stem cells induced to differentiate into either trophoblast or neural lineages	ChIP-chip by array	Homo sapiens	48	2014-07-21	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1652/E-MTAB-1652.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1652/
E-MTAB-821	ChIP-seq of H3K4me3 during differentiation of human embryonic stem cells to immature pancreatic beta cell precursors	ChIP-seq	Homo sapiens	7	2012-10-13	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-821/E-MTAB-821.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-821/
E-MTAB-2236	breast cancer cell lines ALDH+/-	methylation profiling by array	Homo sapiens	22	2015-01-01	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2236/E-MTAB-2236.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2236/raw/		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2236/
E-MEXP-2259	MicroRNA profiling of human umbilical cord mesenchymal stem cells during osteogenic differentiation	microRNA profiling by array	Homo sapiens	19	2009-10-10	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2259/E-MEXP-2259.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2259/E-MEXP-2259.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-2259/
E-MEXP-2313	miRNA profiling of human prostate cancer cell lines treated with 5azadC and TSA to investigate epigenetic modifications	microRNA profiling by array	Homo sapiens	22	2010-01-29	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2313/E-MEXP-2313.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-2313/E-MEXP-2313.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-2313/
E-MEXP-3986	MicroRNA profiling by array of human bronchial epithelial cells after wounding	microRNA profiling by array	Homo sapiens	14	2013-10-02	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-3986/E-MEXP-3986.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-3986/
E-MTAB-279	MicroRNA profiling by array of human myeloid and urinary bladder carcinoma cell lines treated with 5-Azacytidine or 5-aza-2-deoxycytidine	microRNA profiling by array	Homo sapiens	12	2010-09-08	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-279/E-MTAB-279.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-279/
E-MTAB-818	microRNA profiling by array of a directed differentiation time course converting human embryonic stem cells (hES) into immature pancreatic beta cell precursors	microRNA profiling by array	Homo sapiens	36	2012-10-11	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-818/E-MTAB-818.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-818/E-MTAB-818.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-818/
E-MTAB-862	MicroRNA expression profiling of small-intestine neuroendocrine tumors and human neuroendocrine tumor cell lines	microRNA profiling by array	Homo sapiens	25	2012-11-08	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-862/E-MTAB-862.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-862/E-MTAB-862.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-862/
E-MTAB-960	microRNA profiling by array of human retinal pigment epithelial (RPE) cells to study the regulation of RPE redifferentiation	microRNA profiling by array	Homo sapiens	74	2013-01-17	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-960/E-MTAB-960.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-960/E-MTAB-960.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-960/
E-MTAB-1157	microRNA profiling by array of human cancer cell lines placed in hypoxia for 0, 6, 16 and 24 hours	microRNA profiling by array	Homo sapiens	16	2012-11-01	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1157/E-MTAB-1157.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-1157/E-MTAB-1157.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1157/
E-MTAB-3003	Antitumor lectin from Sclerotium rolfsii (SRL) induces apoptosis in human colon cancer HT29 cells by activation of multiple signaling pathways; A microarray analysis	microRNA profiling by array	Homo sapiens	42	2014-10-14	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3003/E-MTAB-3003.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3003/
E-MTAB-3077	Identification of mirna during osteoblast differentiation of human dental pulp stem cells	microRNA profiling by array	Homo sapiens	12	2014-11-28	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3077/E-MTAB-3077.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3077/
E-TABM-1194	Time-series miRNA  breast cancer cells	microRNA profiling by array	Homo sapiens	15	2012-01-05	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-TABM-1194/E-TABM-1194.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-TABM-1194/
E-GEOD-64712	Functional characterization of human T cell hyporesponsiveness induced by CTLA4-Ig	RNA-seq of coding RNA	Homo sapiens	7	2015-02-17	Data is not available	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-64712/
E-MTAB-1277	Transcription profiling by high throughput sequencing of adenovirus infection of human HeLa cells	RNA-seq of coding RNA	Homo sapiens	3	2012-10-27	Data is not available	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-1277/
E-MEXP-101	RNAi knock down of SIM2s in human RKO colon carcinoma cells in a timecourse	RNAi profiling by array	Homo sapiens	32	2004-11-01	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-101/E-MEXP-101.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-101/E-MEXP-101.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-101/
E-MEXP-1124	RNAi knock down of PAX3 in human eRMS and aRMS cell lines identifies an in vivo target gene signature with TFAP2B as a mediator of the survival function of PAX3/FKHR	RNAi profiling by array	Homo sapiens	21	2007-06-08	http://www.ebi.ac.uk/arrayexpress/files/E-MEXP-1124/E-MEXP-1124.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-1124/
E-BASE-3	Transcription profiling of human endothelial cells after 40 h and 24 h exposure to BK virus	transcription profiling by array	Homo sapiens	5	2006-02-09	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-BASE-3/E-BASE-3.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-BASE-3/
E-CVDE-3	Transcription profiling of human neuroblastoma cells with and without MYCN oncogene induction and doxorubicin treatment	transcription profiling by array	Homo sapiens	15	2007-06-01	http://www.ebi.ac.uk/arrayexpress/files/E-CVDE-3/E-CVDE-3.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-CVDE-3/E-CVDE-3.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-CVDE-3/
E-FPMI-4	Transcription profiling of endotoxin-stimulated human monocytic cells in presence and absence of host defense peptide LL-37	transcription profiling by array	Homo sapiens	47	2006-08-01	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-FPMI-4/E-FPMI-4.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-FPMI-4/
E-FPMI-9	Transcription profiling of peripheral blood monocytes from healthy humans and from those with Chronic Granulamatous Disease in response to stimulation with peptidoglycan and lipopolysaccharide	transcription profiling by array	Homo sapiens	33	2008-11-05	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-FPMI-9/E-FPMI-9.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-FPMI-9/
E-GEOD-90	Transcription profiling of human colorectal carcinoma-derived cell lines, p53 -/-, +/-, +/+ at 0 and 12 hrs after growth arrest	transcription profiling by array	Homo sapiens	11	2007-09-28	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-90/E-GEOD-90.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-90/
E-GEOD-403	Transcription profiling time series of the cAMP-induced decidualization of human endometrial stromal cells	transcription profiling by array	Homo sapiens	12	2007-12-13	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-403/E-GEOD-403.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-403/
E-GEOD-409	Transcription profiling time series of the growth of human IMR-90 cells seeded on a collagen/chondroitin sulfate tissue engineering scaffold	transcription profiling by array	Homo sapiens	19	2007-12-13	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-409/E-GEOD-409.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-409/
E-GEOD-410	Transcription profiling of human fibroblast IMR-90 cells tissue culture polystyrene time series	transcription profiling by array	Homo sapiens	13	2008-06-12	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-410/E-GEOD-410.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-410/
E-GEOD-440	Transcription profiling of human epidermal keratinocytes treated with IFN-gamma reveals IFN-gamma suppressed the expression of over 100 genes responsible for cell cycle, DNA replication and RNA metabolism	transcription profiling by array	Homo sapiens	9	2007-10-26	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-440/E-GEOD-440.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-440/E-GEOD-440.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-440/
E-GEOD-511	Transcription profiling of normal human peripheral blood mononuclear cells infected in vitro with the T cell tropic laboratory strain HIV type 1 RF samples at multiple timepoints	transcription profiling by array	Homo sapiens	30	2007-09-28	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-511/E-GEOD-511.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-511/
E-GEOD-516	Transcription profiling of human arthritic TNF treated synoviocytes	transcription profiling by array	Homo sapiens	3	2008-06-13	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-516/E-GEOD-516.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-516/
E-GEOD-571	Transcription profiling of human HeLa CD4+ cells treated with nocodazole and hydroxyurea and transfected with epitope-tagged eTat plasmid sampled at multiple time points	transcription profiling by array	Homo sapiens	16	2007-09-28	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-571/E-GEOD-571.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-571/
E-GEOD-620	Transcription profiling of human cystic fibrosis (CF) IB3-1 bronchial epithelial cells treated with 4-phenylbutyrate for 12 or 24 hours to study  the drug's influence on heat-shock proteins in CF	transcription profiling by array	Homo sapiens	22	2007-10-27	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-620/E-GEOD-620.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-620/E-GEOD-620.raw.1.zip	Yes	http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-620/
E-GEOD-685	Transcription profiling timecourse of induced DACH1 expression in a human breast cancer cell line	transcription profiling by array	Homo sapiens	9	2007-07-19	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-685/E-GEOD-685.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-685/
E-GEOD-697	Transcription profiling of human coxsackievirus B3 (CVB3) infected HeLa cells (multiple time points and triplicate sample per time point)	transcription profiling by array	Homo sapiens	24	2007-09-28	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-697/E-GEOD-697.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-697/
E-GEOD-701	Transcription profiling of human lymphoblastoid cells following 3 Gy and 10 Gy of ionizing radiation exposure to identify transcriptional response of lymphoblastoid cells to ionizing radiation	transcription profiling by array	Homo sapiens	11	2007-09-21	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-701/E-GEOD-701.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-701/
E-GEOD-712	Transcription profiling of human CVB3-infected HeLa cells (multiple time points)	transcription profiling by array	Homo sapiens	12	2007-09-25	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-712/E-GEOD-712.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-712/
E-GEOD-713	Transcription profiling of human skin fibroblasts to low and high doses of UVC radiation to assess cellular transcriptional responses to UVC-induced DNA damage	transcription profiling by array	Homo sapiens	19	2007-09-21	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-713/E-GEOD-713.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-713/
E-GEOD-758	Transcription profiling of human optic nerve head (ONH) astrocytes exposed to either 60 mm Hg hydrostatic pressure (HP) or control ambient pressure (CP) to identify HP-responsive genes	transcription profiling by array	Homo sapiens	43	2007-09-25	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-758/E-GEOD-758.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-758/
E-GEOD-762	Transcription profiling of human prostate adenocarcinoma cells	transcription profiling by array	Homo sapiens	24	2007-09-25	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-762/E-GEOD-762.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-762/
E-GEOD-770	Transcription profiling of human human prostate adenocarcinoma cells following irradiation to a dose of 10 Sv from a Cesium-137 gamma source	transcription profiling by array	Homo sapiens	9	2007-11-08	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-770/E-GEOD-770.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-770/
E-GEOD-837	Transcription profiling of human HUVECs treated with the angiogenic factors VEGF-A and PlGF in low or high serum media	transcription profiling by array	Homo sapiens	32	2007-09-27	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-837/E-GEOD-837.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-837/
E-GEOD-848	Transcription profiling of human MCF-7 breast cancer cells treated with E2, ICI 182,789 (ICI), Raloxifene (Ral), and/or trans-hydroxytamoxifen (TOT)	transcription profiling by array	Homo sapiens	29	2007-09-27	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-848/E-GEOD-848.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-848/
E-GEOD-860	Transcription profiling of human peripheral mononuclear blood cells taken from survivors of psychological trauma a few hours after the trauma and four months later	transcription profiling by array	Homo sapiens	31	2007-10-03	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-860/E-GEOD-860.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-860/
E-GEOD-935	Transcription profiling of human polymorphonuclear leukocytes (PMNs) from healthy individuals vs patients with X-linked chronic granulomatous disease	transcription profiling by array	Homo sapiens	62	2007-09-29	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-935/E-GEOD-935.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-935/
E-GEOD-973	Transcription profiling of human HUVEC IL-1 stimulated cells	transcription profiling by array	Homo sapiens	5	2008-06-16	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-973/E-GEOD-973.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-973/E-GEOD-973.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-973/
E-GEOD-974	Transcription profiling of human left ventricular apex samples	transcription profiling by array	Homo sapiens	37	2007-10-02	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-974/E-GEOD-974.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-974/E-GEOD-974.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-974/
E-GEOD-980	Transcription profiling of human measles virus-infected dendritic cells	transcription profiling by array	Homo sapiens	13	2007-10-02	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-980/E-GEOD-980.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-980/E-GEOD-980.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-980/
E-GEOD-1036	Transcription profiling by array of human K562 cells after treatment with hemin	transcription profiling by array	Homo sapiens	12	2007-07-19	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1036/E-GEOD-1036.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1036/
E-GEOD-1045	Transcription profiling by array of human breast cancer cells expressing mutant estrogen receptors after treatment with estradiol	transcription profiling by array	Homo sapiens	12	2007-07-19	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1045/E-GEOD-1045.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1045/
E-GEOD-1140	Transcription profiling of human peripheral blood mononuclear cells before and after exercise	transcription profiling by array	Homo sapiens	15	2007-07-21	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1140/E-GEOD-1140.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1140/E-GEOD-1140.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1140/
E-GEOD-1144	Transcription profiling by array of human myotubes cultured in low or high glucose medium	transcription profiling by array	Homo sapiens	7	2007-07-19	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1144/E-GEOD-1144.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1144/
E-GEOD-1153	Transcription profiling by array of human osteosarcoma cells expressing estrogen receptor alpha or beta after treatment with estradiol	transcription profiling by array	Homo sapiens	20	2007-08-03	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1153/E-GEOD-1153.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1153/
E-GEOD-1295	Transcription profiling by array of human skeletal muscle from patients with metabolic syndrome after exercise	transcription profiling by array	Homo sapiens	32	2007-08-02	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1295/E-GEOD-1295.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1295/E-GEOD-1295.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1295/
E-GEOD-1296	Transcription profiling by array of fresh, frozen and RNALater-preserved human uterine endometrium samples	transcription profiling by array	Homo sapiens	24	2007-06-21	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1296/E-GEOD-1296.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1296/
E-GEOD-1347	Transcription profiling by array of human bone marrow samples after storage at room temperature for up to 48 hours after aspiration	transcription profiling by array	Homo sapiens	9	2007-07-28	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1347/E-GEOD-1347.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1347/
E-GEOD-1432	Transcription profiling time series of the response of human microglial cells to interferon gamma	transcription profiling by array	Homo sapiens	24	2007-08-03	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1432/E-GEOD-1432.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1432/
E-GEOD-1470	Transcription profiling of human epithelial stem cells co-cultured with the dermal papilla	transcription profiling by array	Homo sapiens	3	2008-06-11	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1470/E-GEOD-1470.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1470/
E-GEOD-1614	Transcription profiling time series of human Caco-2 BBe cell line during proliferation and differentiation	transcription profiling by array	Homo sapiens	12	2007-08-04	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1614/E-GEOD-1614.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1614/
E-GEOD-1709	Transcription profiling of activated or unactivated T cells isolated from peripheral human leukocytes under gravity or vectorless gravity conditions	transcription profiling by array	Homo sapiens	12	2007-06-25	Data is not available	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1709/E-GEOD-1709.raw.1.zip		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1709/
E-GEOD-1802	Transcription profiling of TGF beta induced cell cycle arrest of human CD34+ hematopoietic cells	transcription profiling by array	Homo sapiens	11	2007-08-25	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1802/E-GEOD-1802.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1802/
E-GEOD-1805	Transcription profiling of TGF beta induced cell cycle arrest of human M091 leukemia cell line	transcription profiling by array	Homo sapiens	8	2007-08-25	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1805/E-GEOD-1805.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1805/
E-GEOD-1818	Transcription profiling of human normal, premalignant and various histological subtypes of testicular germ cell tumor (TGCT) tissues, and of two TGCT cell lines treated with retinoic acid	transcription profiling by array	Homo sapiens	30	2008-05-07	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1818/E-GEOD-1818.processed.1.zip	Data is not available		http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1818/
E-GEOD-1832	Transcription profiling of human vastus lateralis muscle from exercised and non-exercised subjects	transcription profiling by array	Homo sapiens	15	2007-08-21	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1832/E-GEOD-1832.processed.1.zip	http://www.ebi.ac.uk/arrayexpress/files/E-GEOD-1832/E-GEOD-1832.raw.1.zip	Yes	http://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-1832/
