Array Design Name	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Comment[AdditionalFile:CDF]	HG-U133B.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-34
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-34_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[blocks]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[omim]	Composite Element Database Entry[unigene]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[swall]	Composite Element Database Entry[kegg]	Composite Element Database Entry[ec]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
AFFX-HUMGAPDH/M33197_5_at	M33197	AFFX-HUMGAPDH/M33197_5_at	ENSG00000111640	IPB000173	7669492	d4gpd11	NM_002046	gpdh_C	138400	Hs.169476	2597	IPR000173	P04406	MAP00472	1.4.1.16			
AFFX-HUMGAPDH/M33197_M_at	M33197	AFFX-HUMGAPDH/M33197_M_at	ENSG00000111640	IPB000173	7669492	d4gpd11	NM_002046	gpdh_C	138400	Hs.169476	2597	IPR000173	P04406	MAP00472	1.2.1.12			
AFFX-HUMGAPDH/M33197_3_at	M33197	AFFX-HUMGAPDH/M33197_3_at	ENSG00000111640	IPB000173	7669492	d4gpd11	NM_002046	gpdh_C	138400	Hs.169476	2597	IPR000173	Q16768	MAP00472	1.2.1.12			
AFFX-HSAC07/X00351_5_at	X00351	AFFX-HSAC07/X00351_5_at	ENSG00000075624	IPB004000	63018	d2btfa1	NM_001101	actin	102630	Hs.288061	60	IPR004001	Q9UE89					
AFFX-HSAC07/X00351_M_at	X00351	AFFX-HSAC07/X00351_M_at	ENSG00000075624	IPB004000	63018	d2btfa1	NM_001101	actin	102630	Hs.288061	60	IPR004001	AAH13380					
AFFX-HSAC07/X00351_3_at	X00351	AFFX-HSAC07/X00351_3_at	ENSG00000075624	IPB004000	63018	d2btfa1	NM_001101	actin	102630	Hs.288061	60	IPR004001	P02570					
AFFX-M27830_5_at	M27830	AFFX-M27830_5_at																
AFFX-M27830_M_at	M27830	AFFX-M27830_M_at																
AFFX-M27830_3_at	M27830	AFFX-M27830_3_at																
AFFX-hum_alu_at	U14573	AFFX-hum_alu_at																
AFFX-r2-Ec-bioB-5_at	J04423	AFFX-r2-Ec-bioB-5_at																
AFFX-r2-Ec-bioB-M_at	J04423	AFFX-r2-Ec-bioB-M_at																
AFFX-r2-Ec-bioB-3_at	J04423	AFFX-r2-Ec-bioB-3_at																
AFFX-r2-Ec-bioC-5_at	J04423	AFFX-r2-Ec-bioC-5_at																
AFFX-r2-Ec-bioC-3_at	J04423	AFFX-r2-Ec-bioC-3_at																
AFFX-r2-Ec-bioD-5_at	J04423	AFFX-r2-Ec-bioD-5_at																
AFFX-r2-Ec-bioD-3_at	J04423	AFFX-r2-Ec-bioD-3_at																
AFFX-r2-P1-cre-5_at	X03453	AFFX-r2-P1-cre-5_at																
AFFX-r2-P1-cre-3_at	X03453	AFFX-r2-P1-cre-3_at																
AFFX-r2-Bs-dap-5_at	L38424	AFFX-r2-Bs-dap-5_at																
AFFX-r2-Bs-dap-M_at	L38424	AFFX-r2-Bs-dap-M_at																
AFFX-r2-Bs-dap-3_at	L38424	AFFX-r2-Bs-dap-3_at																
AFFX-r2-Bs-lys-5_at	X17013	AFFX-r2-Bs-lys-5_at																
AFFX-r2-Bs-lys-M_at	X17013	AFFX-r2-Bs-lys-M_at																
AFFX-r2-Bs-lys-3_at	X17013	AFFX-r2-Bs-lys-3_at																
AFFX-r2-Bs-phe-5_at	M24537	AFFX-r2-Bs-phe-5_at																
AFFX-r2-Bs-phe-M_at	M24537	AFFX-r2-Bs-phe-M_at																
AFFX-r2-Bs-phe-3_at	M24537	AFFX-r2-Bs-phe-3_at																
AFFX-r2-Bs-thr-3_s_at	X04603	AFFX-r2-Bs-thr-3_s_at																
AFFX-r2-Bs-thr-M_s_at	X04603	AFFX-r2-Bs-thr-M_s_at																
AFFX-r2-Bs-thr-5_s_at	X04603	AFFX-r2-Bs-thr-5_s_at																
AFFX-r2-Hs18SrRNA-3_s_at	M10098	AFFX-r2-Hs18SrRNA-3_s_at																
AFFX-r2-Hs18SrRNA-M_x_at	M10098	AFFX-r2-Hs18SrRNA-M_x_at																
AFFX-r2-Hs18SrRNA-5_at	M10098	AFFX-r2-Hs18SrRNA-5_at																
AFFX-r2-Hs28SrRNA-3_at	M11167	AFFX-r2-Hs28SrRNA-3_at																
AFFX-r2-Hs28SrRNA-M_at	M11167	AFFX-r2-Hs28SrRNA-M_at																
AFFX-r2-Hs28SrRNA-5_at	M11167	AFFX-r2-Hs28SrRNA-5_at																
200000_s_at		aa155321_g_at			2463577		NM_006445.1	Mov34	607300	Hs.181368	10594	IPR000555	O14547					
200001_at		Msa.3944.0_f_at	ENSG00000126247	IPB003474	4502565	d1df0a1	NM_001749.1	efhand	114170	Hs.74451	826	IPR002048	AAH17308					
200002_at		200002_at	ENSG00000136942	IPB001854	6005860		NM_007209	Ribosomal_L29		Hs.182825	11224	IPR001854	RL35_CAEEL					
200003_s_at		200003_s_at		IPB002672	14603467		NM_000991.1	Ribosomal_L28e	603638	Hs.356371	6158	IPR002672	Q9BWQ0					
200004_at		200004_at	ENSG00000110321	IPB003890	4503539	d1hu3a_	NM_001418.1	W2	602325	Hs.183684	1982	IPR003891	Q921U3					
200005_at		99101_at	ENSG00000100353	IPB001580	4503523		NM_003753.1		603915	Hs.55682	8664		IF37_HUMAN					
200006_at		w45916_s_at	ENSG00000116288	IPB002818	6005749	d1g2ia_	NM_007262.1	DJ-1_PfpI	602533	Hs.10958	11315	IPR002818	O88306					
200007_at		M29264_f_at	ENSG00000140319	PR00833	4507211	d1914__	NM_003134.1	SRP14	600708	Hs.180394	6727	IPR003210	P37108					
200008_s_at	D13988.1	Msa.3107.0_i_at	ENSG00000057608	IPB000172	6598323	d1d5ta2	NM_001494	GDI	600767	Hs.56845	2665	IPR002005	Q9R274		5.4.99.9			
200009_at		rc_AI105149_at	ENSG00000057608	IPB000172	6598323	d1d5ta2	NM_001494.2	GDI	600767	Hs.56845	2665	IPR002005	Q9R274		5.4.99.9			
200010_at		200010_at	ENSG00000142676	IPB002132	22001905	d1jj2d_	NM_000975.1	Ribosomal_L5_C	604175	Hs.388664	6135	IPR002132	Q9Y674					
200011_s_at		1387447_at	ENSG00000134287	PR00449	4502203	d1rrga_	NM_001659.1	arf	103190	Hs.119177	377	IPR005225	Q9V7B0					
200012_x_at		96290_f_at	ENSG00000122516	IPB001147	20891506	d1jj2p_	NM_000982.1	Ribosomal_L21e	603636	Hs.350077	6144	IPR001147	RL21_MOUSE					
200013_at		w97389_at	ENSG00000114391	IPB001380	4506619		NM_000986.1	Ribosomal_L24e	604180	Hs.184582	6152	IPR000988	Q9CS31					
200014_s_at		aa674148_at	ENSG00000092199		4758544		NM_031314	rrm	164020	Hs.406125	3183	IPR000504	ROCL_HUMAN					
200015_s_at		1423473_at	ENSG00000168385	IPB000765	4758158	d1h65a_	NM_004404.1	GTP_CDC	601506	Hs.155595	4735	IPR000038	SEP2_HUMAN					
200016_x_at		97272_at	ENSG00000135486	IPB002989	8393547	d1ha1_1	NM_031157	rrm	164017	Hs.376844	3178	IPR000504	ROA1_MOUSE					
200017_at		rc_AA891729_at		PR01475	600539	d1ubi__	NM_002954.1	ubiquitin	191343	Hs.311640	6233	IPR002906	UBIQ_HUMAN					
200018_at		rc_AI639224_at	ENSG00000110700	IPB000589	4506685	d1a32__	NM_001017.1	Ribosomal_S15	180476	Hs.165590	6207	IPR000589	RS13_DROME					
200019_s_at		l33715_f_at	ENSG00000149806	IPB000626	4503659	d1cmxb_	NM_001997.1	ubiquitin	134690	Hs.177415	2197	IPR000626	UBIM_HUMAN					
200020_at		aa120443_s_at	ENSG00000120948	IPB000258	6678271		NM_007375.1	rrm	605078	Hs.193989	23435	IPR000504	Q13148					
200021_at		d00472_f_at	ENSG00000172757	IPB002108	8393101	d1ak7__	NM_005507.1	cofilin_ADF	601442	Hs.180370	1072	IPR002108	DEST_HUMAN					
200022_at		M20156_at	ENSG00000063177	IPB000039	18204442	d1jj2n_	NM_000979.1	Ribosomal_L18e	604179	Hs.405036	6141	IPR000039	RL18_MOUSE					
200023_s_at		200023_s_at		IPB002896	4503519		NM_003754.1	Mov34	603914	Hs.7811	8665	IPR003640	O00303					
200024_at		u78085_s_at	ENSG00000083845	IPB000235	3717978	d1rss__	NM_001009.1	Ribosomal_S7	603630	Hs.356019	6193	IPR005716	RS5_HUMAN					
200025_s_at		rc_AI176589_g_at	ENSG00000131469	IPB002784	4506623		NM_000988.1	Ribosomal_L27e	607526	Hs.402678	6155	IPR005824	RL27_CAEEL					
200026_at		1427875_a_at		IPB001284	20826384		NM_033625	Ribosomal_L34e		Hs.250895	6164	IPR001284	RL34_MOUSE					
200027_at		1452866_at	ENSG00000134440		4758762	d1b8aa2	NM_004539.2	tRNA_anti	108410	Hs.406437	4677	IPR004522	Q9CRY5	MAP00970	6.1.1.22			
200028_s_at		200028_s_at	ENSG00000084090		9910252		NM_139267	START		Hs.283722	56910	IPR002913	STR7_HUMAN					
200029_at		rc_AA800054_at	ENSG00000108298	IPB000196	6677773	d1jj2o_	NM_000981.1	Ribosomal_L19e	180466	Hs.252723	6143	IPR000196	RL19_HUMAN					
200030_s_at		1416300_a_at	ENSG00000075415	IPB001993	22760412		NM_005888	mito_carr	600370	Hs.78713	5250	IPR001993	Q9VUF1					
200031_s_at		94767_at	ENSG00000142534	IPB000266	4506681	d1rip__	NM_001015.1	Ribosomal_S17	180471	Hs.182740	6205	IPR000266	Q9V679					
200032_s_at		aa050526_f_at	ENSG00000169653	IPB002358	2136121	d1rl6a1	NM_000661.1	Ribosomal_L6	603686	Hs.157850	6133	IPR002359	RL9_HUMAN					
200033_at		X65627_f_at	ENSG00000108654	IPB000330	6681157	d1hv8a1	NM_004396.2	helicase_C	180630	Hs.76053	1655	IPR001650	P17844					
200034_s_at		x81987_f_at	ENSG00000089009	IPB000915	18490263		NM_000970.1	Ribosomal_L6e_N	603703	Hs.349961	6128	IPR005568	RL6_HUMAN					
200035_at		200035_at	ENSG00000004978		7661722		NM_015343.1	NIF		Hs.84359	23399	IPR004274	Q8VEL4					
200036_s_at		U12403_f_at	ENSG00000007869	IPB002143	531171	d1dwua_	NM_007104.2	Ribosomal_L1		Hs.334895	4736	IPR002143	R10A_MOUSE					
200037_s_at		1448504_a_at	ENSG00000122565	IPB000953	7416937	d1dz1a_	NM_016587.1	chromo	604477	Hs.406384	11335	IPR000953	Q9BVS3					
200038_s_at		200038_s_at	ENSG00000175333	IPB001063	4506617	d1jj2q_	NM_000985.1	Ribosomal_L22	603661	Hs.82202	6139	IPR005721	RL17_HUMAN					
200039_s_at		aa683747_s_at		IPB000426	6755200	d1ryph_	NM_002794.1	proteasome	602175	Hs.432607	5690	IPR000243	PSB2_RAT		3.4.25.1			
200040_at		1437389_x_at	ENSG00000121774	IPB000958	5730027	d1k1ga_	NM_006559.1	KH	602489	Hs.119537	10657	IPR004088	Q9UJ11					
200041_s_at		1437367_at	ENSG00000123136	IPB000629	9790069	d1hv8a1	NM_080598	helicase_C	142560	Hs.55296	7919	IPR001650	Q9BVP6					
200042_at		aa409545_rc_s_at	ENSG00000100220	IPB001233	7657015		NM_014306.1	UPF0027		Hs.10729	51493	IPR001233	Q9VIW7					
200043_at		d73368_s_at	ENSG00000100632	IPB000781	4758302		NM_004450.1	ER	601191	Hs.433413	2079	IPR000781	ERH_HUMAN					
200044_at		Msa.15973.0_s_at	ENSG00000111786		4506903	d1urna_	NM_003769.1	rrm	601943	Hs.77608	8683	IPR000504	Q9CRN3					
200045_at		1420157_s_at	ENSG00000137335	IPB000795	21759807		NM_001090.1	ABC_tran	603429	Hs.9573	23	IPR003439	Q99K92					
200046_at		rc_AI013627_at	ENSG00000129562	IPB003038	4503253		NM_001344.1	DAD	600243	Hs.82890	1603	IPR003038	DAD1_HUMAN					
200047_s_at		m73963_s_at	ENSG00000100811	IPB001541	88893		NM_003403.2	zf-C2H2	600013	Hs.97496	7528	IPR000822	P25490					
200048_s_at		AA261113_at	ENSG00000143543		5729889		NM_006694.1		604671	Hs.6396	10899		O95442					
200049_at		AA733256_s_at	ENSG00000136504	IPB000822	5901962	d1fy7a_	NM_007067.1	zf-C2HC		Hs.21907	11143	IPR002515	O95251					
200050_at		200050_at	ENSG00000167635	IPB001275	6005966		NM_007145.1	zf-C2H2	601505	Hs.301819	7705	IPR000822	Q96MQ2					
200051_at		AB014722_g_at	ENSG00000175467		8394236		NM_005146.1	SART-1	605941	Hs.288319	9092	IPR005011	Q9Z315					
200052_s_at		200052_s_at	ENSG00000143621	IPB001797	13385872		NM_004515.1		603181	Hs.75117	3608	IPR006116	Q12905					
200053_at		93832_at	ENSG00000091640	IPB000967	4757716		NM_004890.1	R3H		Hs.90436	9552	IPR001374	O75391					
200054_at		U41287_s_at	ENSG00000109917	PR00049	6756053		NM_003904.1	ZPR1	603901	Hs.7165	8882	IPR004457	Q9JJA1					
200055_at		aa276759_s_at	ENSG00000166337	PR01443	5454106		NM_006284.1	TFIID_30kD	600475	Hs.89657	6881	IPR003923	Q12962					
200056_s_at		130426_r_at	ENSG00000115936		5453583		NM_173177		606997	Hs.15164	10438		O35473					
200057_s_at		aa259479_s_at	ENSG00000147140	IPB000237	7657383		NM_007363.2	rrm	300084	Hs.355861	4841		Q9CYQ4					
200058_s_at	BC001417.1	200058_s_at			24307975	d1hv8a1	NM_014014	helicase_C	601664	Hs.246112	23020	IPR004179	Q9UNV9					
200059_s_at	BC001360.1	1399027_at	ENSG00000067560	IPB000251	16923986	d1tx4b_	NM_001664	ras	165390	Hs.77273	387	IPR005225	RHOC_MOUSE					
200060_s_at	BC001659.1	X70067_s_at	ENSG00000167971	IPB000684	6857826	d1h6kx_	NM_080594	rrm	606447	Hs.75104	10921	IPR000504	Q15288					
200061_s_at	BC000523.1	1453362_x_at	ENSG00000138326	IPB001976	4506703		NM_033022	Ribosomal_S24e	602412	Hs.180450	6229	IPR001976	Q9CQK2					
200062_s_at	L05095.1	1456266_at	ENSG00000156482	IPB000955	4506631	d1ck9a_	NM_000989	Ribosomal_L7Ae	180467	Hs.356255	6156	IPR004038	RL30_ARATH					
200063_s_at	BC002398.1	165723_at	ENSG00000156427	IPB000547	18314408	d1k5ja_	NM_002520	Nucleoplasmin	164040	Hs.355719	4869	IPR004301	Q9NX34					
200064_at	AF275719.1	200064_at	ENSG00000096384	IPB000135	72222	d1byqa_	NM_007355	HSP90	140572	Hs.74335	3326	IPR003594	Q9NQW0					
200065_s_at	AF052179.1	rc_AI235811_i_at	ENSG00000143761	PR00449	4502201	d1rrga_	NM_001658	arf	103180	Hs.74571	375	IPR005225	Q9V7B0					
200066_at	AF182645.1	1439271_x_at	ENSG00000172496	IPB003134	20546346		NM_006083		600549	Hs.8024	3550		Q95HA6					
200067_x_at	AL078596	200067_x_at																
200068_s_at	M94859.1	94886_at	ENSG00000127022	IPB001990	2134858	d1jhna3	NM_001746	calreticulin	114217	Hs.155560	821	IPR001580	P27824					
200069_at	AI656011	AA182291_s_at	ENSG00000075856	IPB003107	8394239	d2u2fa_	NM_014706	rrm		Hs.116875	9733	IPR003107	Q15020					
200070_at	BC001393.1	200070_at	ENSG00000115649		4929583		NM_015680			Hs.4973	27013		Q9BV87					
200071_at	BF224259	200071_at	ENSG00000119953		5032113	d1g5va_	NM_005871		603519	Hs.79968	10285	IPR002999	O75940					
200072_s_at	AF061832.1	1426698_a_at	ENSG00000099783	IPB002004	1710636	d1hd1a_	NM_031203	rrm	160994	Hs.79024	4670	IPR000504	Q9Y492					
200073_s_at	M94630.1	rc_AI172328_at	ENSG00000138668	IPB000504	3747052	d1hd1a_	NM_031370	rrm	601324	Hs.406404	3184	IPR000504	Q9BQ99					
200074_s_at	U16738.1	1433688_x_at	ENSG00000139239	IPB002101	20810536		NM_003973	Ribosomal_L14e		Hs.406451	9045	IPR005824	RL14_RAT					
200075_s_at	BC006249.1	U53514_s_at	ENSG00000143774	PR00364	4504221	d1gky__	NM_000858	Guanylate_kin	139270	Hs.3764	2987	IPR000619	Q96IN2		2.7.4.8			
200076_s_at	BC006479.1	aa199273_s_at	ENSG00000105700		13129050		NM_024069			Hs.108847	79036		Q9BQD3					
200077_s_at	D87914.1	u52823_s_at	ENSG00000104904	IPB002993	9845505		NM_004152	ODC_AZ	601579	Hs.281960	4946	IPR002993	OAZ_MOUSE					
200078_s_at	BC005876.1	1437013_x_at	ENSG00000117410	PR00122	4757816		NM_004047	ATP-synt_C	603717	Hs.7476	533	IPR002379	Q22087	MAP03070	3.6.3.14			
200079_s_at	AF285758.1	96324_at	ENSG00000065427	IPB002106	505108	d1e1oa2	NM_005548	tRNA_anti	601421	Hs.3100	3735	IPR004365	Q9LJT0	MAP00970	6.1.1.6			
200080_s_at	X05855	200080_s_at											Q9TW44					
200081_s_at	BE741754	1385634_at	ENSG00000137154	IPB001377	6677809		NM_001010	Ribosomal_S6e	180460	Hs.380843	6194	IPR001377	P10660					
200082_s_at	AI805587	200082_s_at	ENSG00000171863	IPB000554	4506741		NM_001011	Ribosomal_S7e	603658	Hs.301547	6201	IPR000554	P23821					
200083_at	AA621731	Msa.6620.0_s_at								Hs.12064	23326	IPR001607	UBPM_HUMAN		3.1.2.15			
200084_at	BE748698	c75942_rc_s_at			7657234		NM_014267			Hs.78050	10944		Q9R0P4					
200085_s_at	NM_007108.1	aa049941_s_at	ENSG00000103363	IPB000626	6005890	d1vcba_	NM_007108	ubiquitin	600787	Hs.172772	6923	IPR000626	Q63529					
200086_s_at	AA854966	x54691_f_at	ENSG00000131143		4502981		NM_001861	COX4	123864	Hs.433419	1327	IPR004203	P13073	MAP00190	1.9.3.1			
200087_s_at	AK024976.1	93817_at	ENSG00000086598	IPB000348	5803149		NM_006815	EMP24_GP25L		Hs.75914	10959	IPR000348	P24_RAT					
200088_x_at	AK026491.1	200088_x_at		IPB000911	4506597	d1mmsa1	NM_000976	Ribosomal_L11_N	180475	Hs.405042	6136	IPR000911	Q9FF52					
200089_s_at	AI953886	200089_s_at	ENSG00000174444	IPB002136	7440597	d1jj2c_	NM_000968	Ribosomal_L4	180479	Hs.286	6124	IPR002136	RL4_RAT					
200090_at	BG168896	1417465_at		IPB003861	4503771	d1jcqa_	NM_002027	PPTA	134635	Hs.356463	2339	IPR002088	Q9UDC1		2.5.1			
200091_s_at	AA888388	200091_s_at	ENSG00000118181	IPB000524	4506707		NM_001028	Ribosomal_S25	180465	Hs.191304	6230	IPR004977	RS25_HUMAN					
200092_s_at	BF216701	1450838_x_at	ENSG00000145592	IPB001569	4506641		NM_033625	Ribosomal_L37e	604181	Hs.250895	6164	IPR001569	R37B_DROME					
200093_s_at	N32864	U60001_at		IPB001310	4885413	d1kpf__	NM_005340	HIT	601314	Hs.256697	3094	IPR001310	HNT1_MOUSE		3.6.1.29			
200094_s_at	AI004246	Msa.13232.0_s_at	ENSG00000167658	IPB000178	600159	d1dar_2	NM_001961	GTP_EFTU_D2	130610	Hs.75309	1938	IPR005225	Q8TA90					
200095_x_at	AA320764	200095_x_at								Hs.434090			RS10_HUMAN					
200096_s_at	AI862255	rc_AI013039_at	ENSG00000113732		4502319		NM_003945		603931	Hs.421241	8992		O15342	MAP03070	3.6.3.14			
200097_s_at	AI701949	AA684857_s_at	ENSG00000165119	IPB002999	14165437	d1khma_	NM_031263	KH	600712	Hs.129548	3190	IPR004088	Q07244					
200098_s_at	T33068	aa271012_g_at	ENSG00000089053		6180013		NM_016237		606948	Hs.7101	51433	IPR001440	Q9D190					
200099_s_at	AL356115	200099_s_at											RS3B_YEAST					
222385_x_at	AF346602.1	1434986_a_at	ENSG00000058262	IPB002208	585957		NM_015968	secY		Hs.306079	29927	IPR002208	Q9Y2R3					
222386_s_at	AB047848.1	1451825_a_at	ENSG00000111481	IPB000804	7706337		NM_016057	Clat_adaptor_s		Hs.181271	51644	IPR000804	COPZ_HUMAN					
222387_s_at	BG476669	222387_s_at	ENSG00000069329		17999541		NM_018206	Vps35	606931	Hs.264190	55737	IPR005378	Q9NZK2					
222388_s_at	AF186382.1	222388_s_at	ENSG00000069329		17999541		NM_018206	Vps35	606931	Hs.264190	55737	IPR005378	VP35_MOUSE					
222389_s_at	NM_016628.1	222389_s_at		IPB001202	23346503	d1e0la_	NM_100486	WW		Hs.70333	51322	IPR001202	Q9NZE0					
222390_at	NM_016628.1	222390_at		IPB001202	23346503	d1e0la_	NM_100486	WW		Hs.70333	51322	IPR001202	Q9H4Z6					
222391_at	AL080250	aa645217_s_at	ENSG00000112697		8922720		NM_018247	CDC50		Hs.108530	55754	IPR005045	Q9UGC2					
222392_x_at	AJ251830.1	97825_at	ENSG00000112378	IPB002897	14603429		NM_022121			Hs.303125	64065		Q9JK95					
222393_s_at	AU149868	222393_s_at	ENSG00000121579	IPB000182	20892561	d1qsta_	NM_025146	Acetyltransf		Hs.288932	80218	IPR000182	Q9GZZ1		2.3.1.82			
